H*	Object Type	L*	ID	Name	Definition
0	ABIE		ASBIE1026	eFTI data set content	eFTI data set content at master level
1	ASBIE		ASBIE1027	eFTI data set consignment	"The consignment is a separately identifiable collection of consignment Items (available to be) transported from only one consignor to only one consignee via one or more modes of transport. A consignment can be at a master level which covers a consolidated cargo (could be a single house level consignment or more than one) contracted between freight forwarder as the consignor and a carrier, or at house level which covers the cargo contracted to be moved by the freight forwarder on behalf of the buyer or the seller. In addition in case of road, it can also be at a subcontract level which covers the case of a road carrier (aka haulier) contracted to move the goods on behalf of another road carrier."
2	BBIE		eFTI39	Carrier acceptance date	The consignment carrier acceptance date/time.
3	SC		eFTI40	Date time format code	The code of the format of the date/time content.
2	BBIE		eFTI41	Gross mass	A measure of the gross weight (mass) of this consignment which includes the weight of packaging but which excludes the weight of any transport equipment.
3	SC		eFTI42	Measurement unit code	A code specifying a unit of measure.
2	BBIE		eFTI45	Gross volume	"The measure of the gross volume, normally calculated by multiplying the maximum length, width and height of this consignment."
3	SC		eFTI46	Measurement unit code	A code specifying a unit of measure.
2	ASBIE		ASBIE1028	Consignor party	"The consignor (aka sender of the goods) is the party defined, in the contract of carriage as the party sending the consignment (goods) to be delivered whether by land, sea or air. The consignor could be the enterprise which consigns goods either on its own behalf or for a third party."
3	BBIE		eFTI49	ID	The identification number for the consignor.
4	SC		eFTI50	Identification scheme agency code	The code of the agency that maintains the identification scheme.
3	BBIE		eFTI51	Name	The name of the consignor.
3	ASBIE		ASBIE1029	Contact information	The contact information for the consignor such as telephone number and email address.
4	ASBIE		ASBIE1030	Telephone information	The complete telephone number information for this consignor contact.
5	BBIE		eFTI52	Complete telephone number	The complete telephone number for this consignor contact.
4	ASBIE		ASBIE1031	Email information	The email address information of this consignor contact.
5	BBIE		eFTI53	Email address	The email address for this consignor contact.
3	ASBIE		ASBIE1032	Postal address	The postal address of the consignor.
4	BBIE		eFTI54	Postcode	The postal code of the address for this consignor party.
4	BBIE		eFTI55	Post office box	"The identifier of the postal office box or other postal service location, assigned to a person or organization, where postal items may be kept for this consignor."
4	BBIE		eFTI56	Street name	The street name of this consignor address.
4	BBIE		eFTI57	City name	"The name of the city, town or village for this consignor address."
4	BBIE		eFTI58	Country code	The country code of this consignor address.
4	BBIE		eFTI59	Country sub- division name	The country sub-division name of this consignor address.
4	BBIE		eFTI60	Building number	The building number for this consignor address.
4	BBIE		eFTI62	House number	The house number of the street or the place for this consignor address.
2	ASBIE		ASBIE1048	Carrier acceptance location	"The location where this consignment will be, or has been, accepted by the carrier."
3	BBIE		eFTI136	ID	"The identifier of the carrier acceptance location, such as a United Nations Location Code (UN/LOCODE)."
4	SC		eFTI137	Identification scheme agency code	The code of the agency that maintains the identification scheme.
3	BBIE		eFTI138	Name	The name of the carrier acceptance location.
3	ASBIE		ASBIE1049	Geographical coordinates	The geographical coordinates of the carrier acceptance location.
4	BBIE		eFTI139	Latitude	The latitude of the carrier acceptance location.
4	BBIE		eFTI140	Longitude	The longitude of the carrier acceptance location.
3	ASBIE		ASBIE1050	Postal address	The postal address of the carrier acceptance location.
4	BBIE		eFTI141	Postcode	The postal code of the address of this carrier acceptance location.
4	BBIE		eFTI144	Street name	The street name of the address of this carrier acceptance location.
4	BBIE		eFTI145	City name	"The name of the city, town or village of the address of this carrier acceptance location."
4	BBIE		eFTI146	Country code	The country code of the address of this carrier acceptance location.
4	BBIE		eFTI147	Country sub- division name	The name of the country sub-division of the address of this carrier acceptance location.
4	BBIE		eFTI148	Building number	The building number of the address of this carrier acceptance location.
4	BBIE		eFTI151	House number	The house number of the street or the place of the address of this carrier acceptance location.
2	ASBIE		ASBIE1051	Consignee receipt location	"The location at which this consignment will be, or has been, received by the consignee."
3	BBIE		eFTI152	ID	"The identifier of this consignee receipt location, such as a United Nations Location Code (UN/LOCODE)."
4	SC		eFTI153	Identification scheme agency code	The code of the agency that maintains the identification scheme.
3	BBIE		eFTI154	Name	The name of the consignee receipt location.
3	ASBIE		ASBIE1052	Geographical coordinates	The geographical coordinates of the consignee receipt location.
4	BBIE		eFTI155	Latitude	The latitude of the consignee receipt location.
4	BBIE		eFTI156	Longitude	The longitude of the consignee receipt location.
3	ASBIE		ASBIE1053	Postal address	The postal address for the consignee receipt location.
